Disposition;Disposition Date;Filing Date;Organization Name;Street Number;Street Name;Street Type;Direction;City;Province;Postal Code;Region;Case Number;Status;Category;Case Type,;lat;lon
Unclassified;;4/9/2021 10:15;2585276 ONTARIO LIMITED;2356;EGLINTON;AVENUE;EAST;TORONTO;ON;M1K2P1;Toronto East;TEL-16335-21;Active;Landlord;L5,;43.5614105;-79.7027166
Unclassified;;4/9/2021 11:08;2585276 ONTARIO LIMITED;2354;EGLINTON;AVENUE;EAST;TORONTO;ON;M1K2N9;Toronto East;TEL-16336-21;Active;Landlord;L5,;43.5614105;-79.7027166
Unclassified;;4/21/2021 14:31;CLOVERLEAF DEVELOPMENT INC;3210;LAWRENCE;AVENUE;EAST;TORONTO;ON;M1H1A4;Toronto East;TEL-16521-21;Active;Landlord;L5,;43.7562353;-79.242781
Unclassified;;5/4/2021 8:19;METCAP LIVING;806;KENNEDY;ROAD;;TORONTO;ON;M1K2E1;Toronto East;TEL-16688-21;Active;Landlord;L5,;43.7335245;-79.26932793055555
Unclassified;;6/21/2021 14:23;SUNDER GROUP OF COMPANIES LTD. C/O GREENWIN INC;550;SCARBOROUGH GOLF CLUB;ROAD;;SCARBOROUGH;ON;M1G1H6;Toronto East;TEL-17598-21;Active;Landlord;L5,;43.7616268;-79.2159913
Unclassified;;6/22/2021 9:48;MEDALLION CORPORATION;560;BIRCHMOUNT;ROAD;;TORONTO;ON;M1K1P5;Toronto East;TEL-17609-21;Active;Landlord;L5,;43.71274616666667;-79.27065736666667
Unclassified;;6/22/2021 10:43;SKYVIEW TERRA APTS. LTD. C/O SKYVIEW MANAGEMENT LTD.;1155;MIDLAND;AVENUE;;SCARBOROUGH;ON;M1K4H3;Toronto East;TEL-17610-21;Active;Landlord;L5,;43.745650499999996;-79.26185367141089
Unclassified;;4/8/2021 7:50;ROSSEAU ROAD INC.;12, 14, 16, 18, 20, 22, 24, 26;ROSSEAU;ROAD;;TORONTO;ON;M3H3G2;Toronto North;TNL-31771-21;Active;Landlord;L5,;43.743233000000004;-79.4377408542735
Unclassified;;4/16/2021 8:46;DIS WILSON C/O BRIARLANE RENTAL PROPERTY MANAGEMENT INC.;1154;WILSON;AVENUE;;TORONTO;ON;M3M1J6;Toronto North;TNL-31898-21;Active;Landlord;L5,;43.7259563;-79.485693
Unclassified;;4/16/2021 12:18;HARDIT CORPORATION C/O REALSTAR MANAGEMENT PARTNERSHIP;5;BROOKBANKS;DRIVE;;TORONTO;ON;M3A2S7;Toronto North;TNL-31901-21;Active;Landlord;L5,;43.75202;-79.333084
Unclassified;;4/20/2021 7:35;HARDIT CORPORATION C/O REALSTAR MANAGEMENT PARTNERSHIP;15;BROOKBANKS;DRIVE;;TORONTO;ON;M3A2S9;Toronto North;TNL-31936-21;Active;Landlord;L5,;43.75212703063214;-79.33216383858628
Unclassified;;4/26/2021 8:11;INTERRENT REIT;2304;WESTON;ROAD;;TORONTO;ON;M9N1Z3;Toronto North;TNL-32038-21;Active;Landlord;L5,;43.7050599;-79.5295563
